id,value
id_0,25.701606348406493
id_1,64.45569402787976
id_2,19.40934102595872
id_3,28.542627225368157
id_4,9.276561413201687
id_5,30.173648920872736
id_6,41.59811303184222
id_7,16.367231635121918
id_8,50.77202476931277
id_9,32.67173885015633
id_10,37.781005583879846
id_11,58.40166902363657
id_12,35.795926951979396
id_13,38.048360265493415
id_14,29.00659551755042
id_15,11.946054591405764
id_16,51.3627285267641
id_17,22.68872707022206
id_18,15.503148759318728
id_19,17.451046179315497
id_20,15.483939562246135
id_21,29.492906458279847
id_22,39.973222453692145
id_23,9.98007939515312
id_24,61.40507973464255
id_25,45.86536107025398
id_26,26.51787286296138
id_27,7.511577271148658
id_28,29.36945651105039
id_29,35.55239582737819
id_30,17.638375801925577
id_31,11.522469598581214
id_32,16.586291637479455
id_33,7.574827856527609
id_34,16.04786563072086
id_35,43.57840901206087
id_36,23.03508657342791
id_37,27.816924941683943
id_38,10.442438505385738
id_39,56.95920169887615
id_40,46.009262099644914
id_41,20.547982247411646
id_42,53.49942115096508
id_43,18.533343311321538
id_44,43.70813077120476
id_45,50.064145174601556
id_46,58.19266947233382
id_47,40.89292337069734
id_48,54.61968046027652
id_49,38.912122433700496
id_50,30.88269264075684
id_51,22.837469930730265
id_52,42.04808486665606
id_53,25.189198380922555
id_54,36.51459915431851
id_55,38.57861356723621
id_56,24.495492763396868
id_57,20.96535856452095
id_58,35.936269240638545
id_59,33.04318785952917
id_60,11.763684736560645
id_61,24.07752561282491
id_62,31.3583568207528
id_63,51.687761938132184
id_64,49.94949837371255
id_65,26.203506924306122
id_66,37.7945079737868
id_67,52.05886427063993
id_68,29.31056378430177
id_69,38.92391949348947
id_70,64.8506172117199
id_71,55.593028466199875
id_72,42.445450372991615
id_73,14.511038324254908
id_74,13.680598316312084
id_75,35.284250123562195
id_76,62.94726036607097
id_77,2.19412175490497
id_78,42.271417147671976
id_79,41.696881658936505
id_80,8.799091538662793
id_81,21.072943902243377
id_82,5.947828420882078
id_83,32.06439687254189
id_84,7.958511911704298
id_85,4.96828076577033
id_86,17.079309726088674
id_87,11.755109459256218
id_88,18.13823326090493
id_89,21.89684516291648
id_90,35.4257644683764
id_91,12.459781444713059
id_92,11.503439401218051
id_93,10.644034026661213
id_94,36.87619374538623
id_95,15.175895811539402
id_96,17.305526193840596
id_97,9.161899646308097
id_98,10.491299428450175
id_99,4.837143509917286
id_100,10.270341889252608
id_101,18.774511917649345
id_102,11.346168438716115
id_103,9.175888350236237
id_104,13.007596520190445
id_105,36.58148093948038
id_106,22.81427230728214
id_107,8.387092100426043
id_108,17.484289351967984
id_109,16.124289330758177
id_110,11.092092252353584
id_111,14.65215628519516
id_112,16.424509236297926
id_113,24.636246912247366
id_114,20.108412506076697
id_115,15.466004200661903
id_116,9.127332853273268
id_117,43.56236607204519
id_118,25.604781398005443
id_119,0.9789917148068318
id_120,0.2614752455226123
id_121,10.39548771090093
id_122,12.482992109379348
id_123,11.89545524793664
id_124,7.224751782098702
id_125,25.08179221934256
id_126,23.66748365523412
id_127,9.173208787240748
id_128,19.44552771808
id_129,13.115385390338067
id_130,-0.3933133349645973
id_131,31.933288242023185
id_132,15.515803337807819
id_133,22.02879148628645
id_134,26.97115784223709
id_135,25.356015102735633
id_136,9.90800857216387
id_137,22.837686057294356
id_138,78.24188719825652
id_139,62.93734142011702
id_140,27.781393303078794
id_141,18.913079856645762
id_142,24.517694473132416
id_143,7.225910134480592
id_144,14.404564646080573
id_145,9.481704426161336
id_146,19.725050600863526
id_147,7.391568594381292
id_148,12.310708369976325
id_149,16.327282514267402
id_150,45.455508161122175
id_151,19.241424110443322
id_152,21.825602235661442
id_153,13.956254274903538
id_154,14.176308827640625
id_155,23.611923591426258
id_156,24.219908124922657
id_157,37.15261028010934
id_158,3.424339778542307
id_159,22.635507751679164
id_160,41.344813969421345
id_161,19.197974127078417
id_162,60.52281096783318
id_163,16.532487250129826
id_164,34.02515634956507
id_165,25.122241081977087
id_166,22.03502783069754
id_167,0.5646297172337916
id_168,68.6801262228073
id_169,16.11851940921975
id_170,15.9970343897588
id_171,70.61398142997955
id_172,20.55759784498405
id_173,2.581374173278735
id_174,24.13095063095579
id_175,-0.12506859361671863
id_176,9.008962853736568
id_177,18.11666072340798
id_178,22.542002464502463
id_179,24.22470249807457
id_180,42.42691109286032
id_181,34.29955600058795
id_182,30.80259807959984
id_183,14.684387520754543
id_184,7.304340718390401
id_185,42.14187723415343
id_186,35.80671415869015
id_187,33.813440177086775
id_188,15.189672922502256
id_189,24.533715823823357
id_190,14.37570307695206
id_191,15.004678983707937
id_192,29.743447383454253
id_193,73.77007581802593
id_194,31.9144311132789
id_195,10.803626207067547
id_196,62.112428909703844
id_197,17.87587297426763
id_198,19.964115744514608
id_199,20.868638426241116
id_200,122.7393391059128
id_201,22.799059707014088
id_202,58.38570728013526
id_203,4.326510460622663
id_204,58.88808708164588
id_205,33.98512759012785
